Episode 16900, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 17000, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 17100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 17200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 17300, Avg Reward: 38.10, Total Reward: 342.94, Average Profit: 38.10, Average Distance: 4.55
Episode 17400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 17500, Avg Reward: 38.75, Total Reward: 348.78, Average Profit: 38.75, Average Distance: 4.55
Episode 17600, Avg Reward: 38.75, Total Reward: 348.78, Average Profit: 38.75, Average Distance: 4.55
Episode 17700, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 17800, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 17900, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18000, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18100, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18200, Avg Reward: 29.58, Total Reward: 266.22, Average Profit: 29.58, Average Distance: 5.89
Episode 18300, Avg Reward: 35.58, Total Reward: 320.23, Average Profit: 35.58, Average Distance: 5.22
Episode 18400, Avg Reward: 29.58, Total Reward: 266.22, Average Profit: 29.58, Average Distance: 5.89
Episode 18500, Avg Reward: 29.58, Total Reward: 266.22, Average Profit: 29.58, Average Distance: 5.89
Episode 18600, Avg Reward: 28.36, Total Reward: 255.22, Average Profit: 28.36, Average Distance: 6.00
Episode 18700, Avg Reward: 31.78, Total Reward: 286.05, Average Profit: 31.78, Average Distance: 5.18
Episode 18800, Avg Reward: 29.58, Total Reward: 266.22, Average Profit: 29.58, Average Distance: 5.89
Episode 18900, Avg Reward: 33.67, Total Reward: 303.02, Average Profit: 33.67, Average Distance: 4.74
Episode 19000, Avg Reward: 29.58, Total Reward: 266.22, Average Profit: 29.58, Average Distance: 5.89
Episode 19100, Avg Reward: 29.58, Total Reward: 266.22, Average Profit: 29.58, Average Distance: 5.89
Episode 19200, Avg Reward: 27.82, Total Reward: 250.38, Average Profit: 27.82, Average Distance: 6.17
Episode 19300, Avg Reward: 27.82, Total Reward: 250.38, Average Profit: 27.82, Average Distance: 6.17
Episode 19400, Avg Reward: 28.36, Total Reward: 255.22, Average Profit: 28.36, Average Distance: 6.00
Episode 19500, Avg Reward: 27.82, Total Reward: 250.38, Average Profit: 27.82, Average Distance: 6.17
Episode 19600, Avg Reward: 29.58, Total Reward: 266.22, Average Profit: 29.58, Average Distance: 5.89
Episode 19700, Avg Reward: 27.82, Total Reward: 250.38, Average Profit: 27.82, Average Distance: 6.17
Episode 19800, Avg Reward: 24.98, Total Reward: 224.82, Average Profit: 24.98, Average Distance: 6.66
Episode 19900, Avg Reward: 24.98, Total Reward: 224.82, Average Profit: 24.98, Average Distance: 6.66
Episode 20000, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 20100, Avg Reward: 24.98, Total Reward: 224.82, Average Profit: 24.98, Average Distance: 6.66
Episode 20200, Avg Reward: 25.32, Total Reward: 227.85, Average Profit: 25.32, Average Distance: 6.50
Episode 20300, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 20400, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 20500, Avg Reward: 25.51, Total Reward: 229.58, Average Profit: 25.51, Average Distance: 6.55
Episode 20600, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 20700, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 20800, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 20900, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 21000, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 21100, Avg Reward: 26.27, Total Reward: 236.39, Average Profit: 26.27, Average Distance: 6.08
Episode 21200, Avg Reward: 27.07, Total Reward: 243.63, Average Profit: 27.07, Average Distance: 6.39
Episode 21300, Avg Reward: 27.07, Total Reward: 243.63, Average Profit: 27.07, Average Distance: 6.39
Episode 21400, Avg Reward: 30.31, Total Reward: 272.83, Average Profit: 30.31, Average Distance: 5.23
Episode 21500, Avg Reward: 30.31, Total Reward: 272.83, Average Profit: 30.31, Average Distance: 5.23
Episode 21600, Avg Reward: 29.06, Total Reward: 261.50, Average Profit: 29.06, Average Distance: 5.79
Episode 21700, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 21800, Avg Reward: 37.34, Total Reward: 336.02, Average Profit: 37.34, Average Distance: 5.15
Episode 21900, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22000, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22100, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22200, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22300, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22400, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22500, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22600, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22700, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22800, Avg Reward: 37.34, Total Reward: 336.08, Average Profit: 37.34, Average Distance: 4.94
Episode 22900, Avg Reward: 38.08, Total Reward: 342.69, Average Profit: 38.08, Average Distance: 4.27
Traceback (most recent call last):
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 148, in <module>
    main()
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 66, in main
