Episode 3320, Avg Loss: 0.0000, Reward: -203543.98828125
Episode 3330, Avg Loss: 0.0000, Reward: -151916.7578125
Episode 3340, Avg Loss: 0.0000, Reward: -256413.09375
Episode 3350, Avg Loss: 0.0000, Reward: -152278.62890625
Episode 3360, Avg Loss: 0.0000, Reward: -152421.03515625
Episode 3370, Avg Loss: 0.0000, Reward: -152560.421875
Episode 3380, Avg Loss: 0.0000, Reward: -152719.453125
Episode 3390, Avg Loss: 0.0000, Reward: -152892.6328125
Episode 3400, Avg Loss: 0.0000, Reward: -153144.0703125
Episode 3400 : -153144.0703125
Episode 3410, Avg Loss: 0.0000, Reward: -153270.9140625
Episode 3420, Avg Loss: 0.0000, Reward: -153437.25390625
Episode 3430, Avg Loss: 0.0000, Reward: -207422.58984375
Episode 3440, Avg Loss: 0.0000, Reward: -153856.671875
Episode 3450, Avg Loss: 0.0000, Reward: -208156.3359375
Episode 3460, Avg Loss: 0.0000, Reward: -154248.03125
Episode 3470, Avg Loss: 0.0000, Reward: -154420.265625
Episode 3480, Avg Loss: 0.0000, Reward: -263862.6171875
Episode 3490, Avg Loss: 0.0000, Reward: -154744.21875
Episode 3500, Avg Loss: 0.0000, Reward: -154986.6640625
Episode 3500 : -154986.6640625
Episode 3510, Avg Loss: 0.0000, Reward: -210291.38671875
Episode 3520, Avg Loss: 0.0000, Reward: -265991.37109375
Episode 3530, Avg Loss: 0.0000, Reward: -155496.984375
Episode 3540, Avg Loss: 0.0000, Reward: -155723.7265625
Episode 3550, Avg Loss: 0.0000, Reward: -155883.6953125
Episode 3560, Avg Loss: 0.0000, Reward: -156090.8046875
Episode 3570, Avg Loss: 0.0000, Reward: -212552.609375
Episode 3580, Avg Loss: 0.0000, Reward: -212915.53125
Episode 3590, Avg Loss: 0.0000, Reward: -269955.3671875
Episode 3600, Avg Loss: 0.0000, Reward: -156930.2421875
Episode 3600 : -156930.2421875
Episode 3610, Avg Loss: 0.0000, Reward: -157093.4609375
Episode 3620, Avg Loss: 0.0000, Reward: -157220.3046875
Episode 3630, Avg Loss: 0.0000, Reward: -272302.5234375
Episode 3640, Avg Loss: 0.0000, Reward: -157584.1171875
Episode 3650, Avg Loss: 0.0000, Reward: -215574.1640625
Episode 3660, Avg Loss: 0.0000, Reward: -215837.953125
Episode 3670, Avg Loss: 0.0000, Reward: -216236.171875
Episode 3680, Avg Loss: 0.0000, Reward: -158290.2578125
Episode 3690, Avg Loss: 0.0000, Reward: -216919.703125
Episode 3700, Avg Loss: 0.0000, Reward: -158604.515625
Episode 3700 : -158604.515625
Episode 3710, Avg Loss: 0.0000, Reward: -158792.34375
Episode 3720, Avg Loss: 0.0000, Reward: -217938.109375
Episode 3730, Avg Loss: 0.0000, Reward: -159139.0
Episode 3740, Avg Loss: 0.0000, Reward: -159344.203125
Episode 3750, Avg Loss: 0.0000, Reward: -218953.6875
Episode 3760, Avg Loss: 0.0000, Reward: -159675.875
Episode 3770, Avg Loss: 0.0000, Reward: -219694.171875
Episode 3780, Avg Loss: 0.0000, Reward: -220130.984375
Episode 3790, Avg Loss: 0.0000, Reward: -220579.3828125
Episode 3800, Avg Loss: 0.0000, Reward: -221049.0703125
Episode 3800 : -221049.0703125
Episode 3810, Avg Loss: 0.0000, Reward: -160670.4140625
Episode 3820, Avg Loss: 0.0000, Reward: -160850.7734375
Episode 3830, Avg Loss: 0.0000, Reward: -161013.0546875
Episode 3840, Avg Loss: 0.0000, Reward: -161207.4921875
Episode 3850, Avg Loss: 0.0000, Reward: -161401.9296875
Episode 3860, Avg Loss: 0.0000, Reward: -223228.5234375
Episode 3870, Avg Loss: 0.0000, Reward: -223536.6875
Episode 3880, Avg Loss: 0.0000, Reward: -161914.28125
Episode 3890, Avg Loss: 0.0000, Reward: -224159.5390625
Episode 3900, Avg Loss: 0.0000, Reward: -162285.9609375
Episode 3900 : -162285.9609375
Episode 3910, Avg Loss: 0.0000, Reward: -224983.6796875
Episode 3920, Avg Loss: 0.0000, Reward: -225263.6171875
Episode 3930, Avg Loss: 0.0000, Reward: -225592.9453125
Episode 3940, Avg Loss: 0.0000, Reward: -162944.828125
Episode 3950, Avg Loss: 0.0000, Reward: -163154.1953125
Episode 3960, Avg Loss: 0.0000, Reward: -226761.7421875
Episode 3970, Avg Loss: 0.0000, Reward: -163554.9453125
Episode 3980, Avg Loss: 0.0000, Reward: -163735.1953125
Episode 3990, Avg Loss: 0.0000, Reward: -163897.9140625
Episode 4000, Avg Loss: 0.0000, Reward: -164061.875
Episode 4000 : -164061.875
Episode 4010, Avg Loss: 0.0000, Reward: -228449.3203125
Episode 4020, Avg Loss: 0.0000, Reward: -164424.03125
Episode 4030, Avg Loss: 0.0000, Reward: -229152.5390625
Episode 4040, Avg Loss: 0.0000, Reward: -164689.953125
Episode 4050, Avg Loss: 0.0000, Reward: -294801.1875
Episode 4060, Avg Loss: 0.0000, Reward: -165112.625
Episode 4070, Avg Loss: 0.0000, Reward: -165253.234375
Episode 4080, Avg Loss: 0.0000, Reward: -230972.6171875
Episode 4090, Avg Loss: 0.0000, Reward: -231203.3125
Episode 4100, Avg Loss: 0.0000, Reward: -231634.875
Episode 4100 : -231634.875
Episode 4110, Avg Loss: 0.0000, Reward: -166009.140625
Episode 4120, Avg Loss: 0.0000, Reward: -232349.71875
Episode 4130, Avg Loss: 0.0000, Reward: -299030.078125
Episode 4140, Avg Loss: 0.0000, Reward: -166527.2734375
Episode 4150, Avg Loss: 0.0000, Reward: -166689.8359375
Episode 4160, Avg Loss: 0.0000, Reward: -300591.109375
Episode 4170, Avg Loss: 0.0000, Reward: -234159.7421875
Episode 4180, Avg Loss: 0.0000, Reward: -234408.8671875
Episode 4190, Avg Loss: 0.0000, Reward: -167371.90625
Episode 4200, Avg Loss: 0.0000, Reward: -302751.78125
